danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_pop,artist,genres,track_pop,song_name,release_date
0.643,0.363,0,-11.738,1,0.0767,0.69,0.0000517,0.115,0.23,139.865,audio_features,3rWDp9tBPQR9z6U5YyRSK4,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,https://api.spotify.com/v1/tracks/3rWDp9tBPQR9z6U5YyRSK4,https://api.spotify.com/v1/audio-analysis/3rWDp9tBPQR9z6U5YyRSK4,174783,4,100,Taylor Swift,pop,91,Midnight Rain,2022-10-21
0.561,0.52,11,-9.342,0,0.244,0.0503,0.00000186,0.355,0.424,153.15,audio_features,1bDbXMyjaUIooNwFE9wn0N,spotify:track:1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N,239360,3,97,Drake,canadian_hip_hop canadian_pop hip_hop rap toronto_rap,95,Rich Flex,2022-11-04
0.701,0.573,1,-9.637,1,0.0695,0.088,0.2,0.105,0.575,165.995,audio_features,2jkyPVk1nbpsZD0KAS98Zw,spotify:track:2jkyPVk1nbpsZD0KAS98Zw,https://api.spotify.com/v1/tracks/2jkyPVk1nbpsZD0KAS98Zw,https://api.spotify.com/v1/audio-analysis/2jkyPVk1nbpsZD0KAS98Zw,162010,4,67,ThxSoMch,unknown,84,SPIT IN MY FACE!,2022-11-01
0.699,0.691,2,-8.034,1,0.0571,0.436,0.0000502,0.0792,0.6,120.069,audio_features,2jebSa6YGAuGpZ0omg00mW,spotify:track:2jebSa6YGAuGpZ0omg00mW,https://api.spotify.com/v1/tracks/2jebSa6YGAuGpZ0omg00mW,https://api.spotify.com/v1/audio-analysis/2jebSa6YGAuGpZ0omg00mW,155146,4,53,Johnning,pop_edm,50,Bad Blood,2022-08-05
0.71,0.879,0,-4.218,1,0.0422,0.158,0.00142,0.439,0.341,114.993,audio_features,1RDvyOk4WtPCtoqciJwVn8,spotify:track:1RDvyOk4WtPCtoqciJwVn8,https://api.spotify.com/v1/tracks/1RDvyOk4WtPCtoqciJwVn8,https://api.spotify.com/v1/audio-analysis/1RDvyOk4WtPCtoqciJwVn8,201391,4,77,Jung Kook,k-pop,88,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2022-11-20
0.586,0.525,1,-7.163,0,0.0615,0.111,0,0.134,0.508,133.629,audio_features,2LBqCSwhJGcFQeTHMVGwy3,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/tracks/2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/audio-analysis/2LBqCSwhJGcFQeTHMVGwy3,260253,4,93,The Weeknd,canadian_contemporary_r&b canadian_pop pop,87,Die For You,2016-11-24
0.721,0.769,7,-4.111,1,0.105,0.0922,0,0.0817,0.915,155.932,audio_features,2rmwqU7yzTvzkiaRV53DpT,spotify:track:2rmwqU7yzTvzkiaRV53DpT,https://api.spotify.com/v1/tracks/2rmwqU7yzTvzkiaRV53DpT,https://api.spotify.com/v1/audio-analysis/2rmwqU7yzTvzkiaRV53DpT,187108,4,78,Lizzo,escape_room minnesota_hip_hop pop trap_queen,83,2 Be Loved (Am I Ready),2022-07-15
0.491,0.748,7,-5.728,1,0.0721,0.153,0,0.278,0.295,139.933,audio_features,3NVesfMLma4h2yYIQJZoRu,spotify:track:3NVesfMLma4h2yYIQJZoRu,https://api.spotify.com/v1/tracks/3NVesfMLma4h2yYIQJZoRu,https://api.spotify.com/v1/audio-analysis/3NVesfMLma4h2yYIQJZoRu,156857,4,55,Arc North,covertronica gaming_edm pop_edm slap_house,52,Better,2022-10-28
0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,audio_features,3JvKfv6T31zO0ini8iNItO,spotify:track:3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/audio-analysis/3JvKfv6T31zO0ini8iNItO,244360,4,78,Tom Odell,chill_pop pop,93,Another Love,2013-06-24
0.663,0.559,6,-12.876,0,0.0391,0.136,0.0894,0.108,0.296,145.007,audio_features,4tRhRLBxIZ34Iw0eCuiC03,spotify:track:4tRhRLBxIZ34Iw0eCuiC03,https://api.spotify.com/v1/tracks/4tRhRLBxIZ34Iw0eCuiC03,https://api.spotify.com/v1/audio-analysis/4tRhRLBxIZ34Iw0eCuiC03,206385,4,70,southstar,unknown,85,Miss You,2022-07-30
0.824,0.453,3,-9.604,0,0.0968,0.146,0.0273,0.0896,0.552,119.959,audio_features,34ZAzO78a5DAVNrYIGWcPm,spotify:track:34ZAzO78a5DAVNrYIGWcPm,https://api.spotify.com/v1/tracks/34ZAzO78a5DAVNrYIGWcPm,https://api.spotify.com/v1/audio-analysis/34ZAzO78a5DAVNrYIGWcPm,181831,4,83,SZA,pop r&b rap,89,Shirt,2022-10-28
0.639,0.777,6,-6.995,0,0.0492,0.0206,0.00472,0.0933,0.86,159.998,audio_features,2mqqpgoLEqCxlMh7gbOSrW,spotify:track:2mqqpgoLEqCxlMh7gbOSrW,https://api.spotify.com/v1/tracks/2mqqpgoLEqCxlMh7gbOSrW,https://api.spotify.com/v1/audio-analysis/2mqqpgoLEqCxlMh7gbOSrW,196764,4,53,Johnning,pop_edm,49,Band Aid,2022-10-28
0.919,0.623,7,-6.521,1,0.0992,0.184,0.0000163,0.0609,0.775,130.037,audio_features,5ildQOEKmJuWGl2vRkFdYc,spotify:track:5ildQOEKmJuWGl2vRkFdYc,https://api.spotify.com/v1/tracks/5ildQOEKmJuWGl2vRkFdYc,https://api.spotify.com/v1/audio-analysis/5ildQOEKmJuWGl2vRkFdYc,157018,4,84,ROSALÍA,r&b_en_espanol,91,DESPECHÁ,2022-07-28
0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,audio_features,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,https://api.spotify.com/v1/tracks/5jQI2r1RdgtuT8S3iG8zFC,https://api.spotify.com/v1/audio-analysis/5jQI2r1RdgtuT8S3iG8zFC,202396,4,100,Taylor Swift,pop,91,Lavender Haze,2022-10-21
0.563,0.639,0,-8.205,1,0.0684,0.107,0.0000106,0.446,0.518,169.985,audio_features,0QPRDC97rIQB3Jh3hrVJoH,spotify:track:0QPRDC97rIQB3Jh3hrVJoH,https://api.spotify.com/v1/tracks/0QPRDC97rIQB3Jh3hrVJoH,https://api.spotify.com/v1/audio-analysis/0QPRDC97rIQB3Jh3hrVJoH,179551,4,76,Rosa Linn,alt_z,54,SNAP,2022-03-19
0.578,0.804,10,-7.448,0,0.218,0.354,0.00000498,0.111,0.158,105.049,audio_features,2NOWXfMgQIFwrC5AFJmD2z,spotify:track:2NOWXfMgQIFwrC5AFJmD2z,https://api.spotify.com/v1/tracks/2NOWXfMgQIFwrC5AFJmD2z,https://api.spotify.com/v1/audio-analysis/2NOWXfMgQIFwrC5AFJmD2z,142286,5,52,Drama B,deep_underground_hip_hop traprun,51,Ready Or Not,2022-10-14
0.637,0.715,2,-4.971,0,0.0455,0.148,0,0.0892,0.308,141.872,audio_features,38T0tPVZHcPZyhtOcCP7pF,spotify:track:38T0tPVZHcPZyhtOcCP7pF,https://api.spotify.com/v1/tracks/38T0tPVZHcPZyhtOcCP7pF,https://api.spotify.com/v1/audio-analysis/38T0tPVZHcPZyhtOcCP7pF,210576,4,81,Lil Nas X,lgbtq+_hip_hop pop,89,STAR WALKIN' (League of Legends Worlds Anthem),2022-09-22
0.398,0.705,5,-7.07,0,0.0756,0.204,0.0000513,0.443,0.635,111.487,audio_features,37vVp2sWHuuIBOSl1NswP6,spotify:track:37vVp2sWHuuIBOSl1NswP6,https://api.spotify.com/v1/tracks/37vVp2sWHuuIBOSl1NswP6,https://api.spotify.com/v1/audio-analysis/37vVp2sWHuuIBOSl1NswP6,145668,4,70,Isabel LaRosa,hyperpop pop,83,i'm yours,2022-10-28
0.76,0.697,7,-6.419,1,0.0372,0.233,0.00000459,0.096,0.717,114.995,audio_features,2qf8tVKPHwUE7AF10KJh8f,spotify:track:2qf8tVKPHwUE7AF10KJh8f,https://api.spotify.com/v1/tracks/2qf8tVKPHwUE7AF10KJh8f,https://api.spotify.com/v1/audio-analysis/2qf8tVKPHwUE7AF10KJh8f,189250,4,37,LEFT.,unknown,16,Moments of a Lifetime,2022-11-25
0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,audio_features,72yP0DUlWPyH8P7IoxskwN,spotify:track:72yP0DUlWPyH8P7IoxskwN,https://api.spotify.com/v1/tracks/72yP0DUlWPyH8P7IoxskwN,https://api.spotify.com/v1/audio-analysis/72yP0DUlWPyH8P7IoxskwN,202246,4,83,Elton John,glam_rock mellow_gold piano_rock,86,Hold Me Closer,2022-08-26
0.798,0.697,0,-7.139,1,0.0891,0.0202,0,0.259,0.745,90.031,audio_features,0skYUMpS0AcbpjcGsAbRGj,spotify:track:0skYUMpS0AcbpjcGsAbRGj,https://api.spotify.com/v1/tracks/0skYUMpS0AcbpjcGsAbRGj,https://api.spotify.com/v1/audio-analysis/0skYUMpS0AcbpjcGsAbRGj,186964,4,85,BLACKPINK,k-pop k-pop_girl_group,80,Pink Venom,2022-08-19
0.768,0.716,10,-5.11,1,0.0404,0.35,0,0.15,0.841,131.43,audio_features,3RfTeIrWS8LNrfHYwechtt,spotify:track:3RfTeIrWS8LNrfHYwechtt,https://api.spotify.com/v1/tracks/3RfTeIrWS8LNrfHYwechtt,https://api.spotify.com/v1/audio-analysis/3RfTeIrWS8LNrfHYwechtt,163026,4,72,Nicky Youre,pop,13,Sunroof,2021-11-26
0.674,0.977,0,-4.984,0,0.132,0.0718,0.00104,0.108,0.506,138.04,audio_features,1XinNsmHb0c1cvfsARHqyz,spotify:track:1XinNsmHb0c1cvfsARHqyz,https://api.spotify.com/v1/tracks/1XinNsmHb0c1cvfsARHqyz,https://api.spotify.com/v1/audio-analysis/1XinNsmHb0c1cvfsARHqyz,135652,4,47,Meric,unknown,50,Love Me Faster,2022-09-30
0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,audio_features,2TktkzfozZifbQhXjT6I33,spotify:track:2TktkzfozZifbQhXjT6I33,https://api.spotify.com/v1/tracks/2TktkzfozZifbQhXjT6I33,https://api.spotify.com/v1/audio-analysis/2TktkzfozZifbQhXjT6I33,216680,3,74,Omar Apollo,bedroom_pop bedroom_soul pop r&b,87,Evergreen (You Didn’t Deserve Me At All),2022-04-08
0.762,0.861,0,-3.296,1,0.0955,0.0185,0,0.264,0.955,120.048,audio_features,0xzI1KAr0Yd9tv8jlIk3sn,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,https://api.spotify.com/v1/tracks/0xzI1KAr0Yd9tv8jlIk3sn,https://api.spotify.com/v1/audio-analysis/0xzI1KAr0Yd9tv8jlIk3sn,172714,4,74,benny blanco,dance_pop edm electropop pop pop_rap,84,Bad Decisions (with BTS & Snoop Dogg),2022-08-05
0.43,0.528,2,-7.321,1,0.0887,0.323,0,0.428,0.151,139.266,audio_features,0SXmDmLbhs58mBqTrD3cc3,spotify:track:0SXmDmLbhs58mBqTrD3cc3,https://api.spotify.com/v1/tracks/0SXmDmLbhs58mBqTrD3cc3,https://api.spotify.com/v1/audio-analysis/0SXmDmLbhs58mBqTrD3cc3,204043,4,62,Besomorph,alt_z slap_house traprun,52,Toxic,2022-08-26
0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964,audio_features,0O6u0VJ46W86TxN9wgyqDj,spotify:track:0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/tracks/0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/audio-analysis/0O6u0VJ46W86TxN9wgyqDj,192841,4,87,Post Malone,dfw_rap melodic_rap rap,89,I Like You (A Happier Song) (with Doja Cat),2022-06-03
0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,audio_features,75FEaRjZTKLhTrFGsfMUXR,spotify:track:75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/audio-analysis/75FEaRjZTKLhTrFGsfMUXR,298933,4,73,Kate Bush,art_pop art_rock baroque_pop new_wave_pop permanent_wave piano_rock singer-songwriter,86,Running Up That Hill (A Deal With God),1985
0.633,0.656,2,-8.274,1,0.0474,0.335,0.0129,0.112,0.143,138.053,audio_features,31i50JGEdynq8kbBz4kghs,spotify:track:31i50JGEdynq8kbBz4kghs,https://api.spotify.com/v1/tracks/31i50JGEdynq8kbBz4kghs,https://api.spotify.com/v1/audio-analysis/31i50JGEdynq8kbBz4kghs,208696,4,47,Meric,unknown,44,Over Me,2022-10-21
0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,audio_features,1qEmFfgcLObUfQm0j1W2CK,spotify:track:1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,177955,4,89,Harry Styles,pop,90,Late Night Talking,2022-05-20
0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02,audio_features,2HZLXBOnaSRhXStMLrq9fD,spotify:track:2HZLXBOnaSRhXStMLrq9fD,https://api.spotify.com/v1/tracks/2HZLXBOnaSRhXStMLrq9fD,https://api.spotify.com/v1/audio-analysis/2HZLXBOnaSRhXStMLrq9fD,244804,4,76,Ghost,hard_rock metal,85,Mary On A Cross,2019-09-13
0.572,0.743,2,-6.713,0,0.0982,0.03,0,0.093,0.343,129.984,audio_features,2zmzEwlmb5wtGvTuS2Sjrg,spotify:track:2zmzEwlmb5wtGvTuS2Sjrg,https://api.spotify.com/v1/tracks/2zmzEwlmb5wtGvTuS2Sjrg,https://api.spotify.com/v1/audio-analysis/2zmzEwlmb5wtGvTuS2Sjrg,171692,4,62,Besomorph,alt_z slap_house traprun,54,In My Dreams,2022-10-07
0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806,4,80,The Kid LAROI,australian_hip_hop pop,87,STAY (with Justin Bieber),2021-07-09
0.847,0.69,1,-7.877,0,0.0493,0.0127,0.00006,0.0526,0.692,125.004,audio_features,4zN21mbAuaD0WqtmaTZZeP,spotify:track:4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/tracks/4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/audio-analysis/4zN21mbAuaD0WqtmaTZZeP,186662,4,73,James Hype,deep_groove_house edm house pop_dance uk_dance,87,Ferrari,2022-04-01
0.729,0.84,9,-4.953,0,0.0324,0.0274,0.000771,0.0721,0.796,117.982,audio_features,0Ni3UTucdl8y2j3EG4w5PB,spotify:track:0Ni3UTucdl8y2j3EG4w5PB,https://api.spotify.com/v1/tracks/0Ni3UTucdl8y2j3EG4w5PB,https://api.spotify.com/v1/audio-analysis/0Ni3UTucdl8y2j3EG4w5PB,142373,4,45,Gloria Kim,unknown,42,omg,2022-11-11
