danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,release_date,popularity,artist
0.724,0.87,1,-3.614,0,0.113,0.00453,0,0.833,0.81,93.01,audio_features,2fQ6sBFWaLv2Gxos4igHLy,spotify:track:2fQ6sBFWaLv2Gxos4igHLy,https://api.spotify.com/v1/tracks/2fQ6sBFWaLv2Gxos4igHLy,https://api.spotify.com/v1/audio-analysis/2fQ6sBFWaLv2Gxos4igHLy,207547,4,Say Aah (feat. Fabolous),2009-08-31,62,Trey Songz
0.627,0.614,6,-6.006,0,0.17,0.0211,0,0.0286,0.758,96.038,audio_features,4BycRneKmOs6MhYG9THsuX,spotify:track:4BycRneKmOs6MhYG9THsuX,https://api.spotify.com/v1/tracks/4BycRneKmOs6MhYG9THsuX,https://api.spotify.com/v1/audio-analysis/4BycRneKmOs6MhYG9THsuX,208947,4,Find Your Love,2010-01-01,65,Drake
0.623,0.793,11,-6.63,0,0.0462,0.000397,0.0015,0.375,0.36,98.998,audio_features,1HHeOs6zRdF8Ck58easiAY,spotify:track:1HHeOs6zRdF8Ck58easiAY,https://api.spotify.com/v1/tracks/1HHeOs6zRdF8Ck58easiAY,https://api.spotify.com/v1/audio-analysis/1HHeOs6zRdF8Ck58easiAY,274213,4,Alejandro,2009-11-05,71,Lady Gaga
0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,audio_features,7ksYJ95P5vP87A0GH34CIk,spotify:track:7ksYJ95P5vP87A0GH34CIk,https://api.spotify.com/v1/tracks/7ksYJ95P5vP87A0GH34CIk,https://api.spotify.com/v1/audio-analysis/7ksYJ95P5vP87A0GH34CIk,215747,4,Ridin' Solo,2010-03-01,55,Jason Derulo
0.531,0.752,1,-6.161,1,0.0305,0.0421,0,0.12,0.103,89.917,audio_features,3ZdJffjzJWFimSQyxgGIxN,spotify:track:3ZdJffjzJWFimSQyxgGIxN,https://api.spotify.com/v1/tracks/3ZdJffjzJWFimSQyxgGIxN,https://api.spotify.com/v1/audio-analysis/3ZdJffjzJWFimSQyxgGIxN,237800,4,Just A Dream,2010-11-12,74,Nelly
0.785,0.498,1,-6.977,1,0.0533,0.00248,0.00000123,0.224,0.418,143.96,audio_features,1WtTLtofvcjQM3sXSMkDdX,spotify:track:1WtTLtofvcjQM3sXSMkDdX,https://api.spotify.com/v1/tracks/1WtTLtofvcjQM3sXSMkDdX,https://api.spotify.com/v1/audio-analysis/1WtTLtofvcjQM3sXSMkDdX,201587,4,How Low,2010-01-01,63,Ludacris
0.435,0.837,3,-8.126,1,0.449,0.00676,0,0.117,0.778,124.913,audio_features,4DvhkX2ic4zWkQeWMwQ2qf,spotify:track:4DvhkX2ic4zWkQeWMwQ2qf,https://api.spotify.com/v1/tracks/4DvhkX2ic4zWkQeWMwQ2qf,https://api.spotify.com/v1/audio-analysis/4DvhkX2ic4zWkQeWMwQ2qf,216893,4,Like A G6,2010-01-01,70,Far East Movement
0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,audio_features,2DHc2e5bBn4UzY0ENVFrUl,spotify:track:2DHc2e5bBn4UzY0ENVFrUl,https://api.spotify.com/v1/tracks/2DHc2e5bBn4UzY0ENVFrUl,https://api.spotify.com/v1/audio-analysis/2DHc2e5bBn4UzY0ENVFrUl,232467,5,Carry Out (Featuring Justin Timberlake),2009-01-01,68,Timbaland
0.615,0.733,8,-4.808,1,0.0335,0.152,0,0.109,0.796,122.58,audio_features,4fIWvT19w9PR0VVBuPYpWA,spotify:track:4fIWvT19w9PR0VVBuPYpWA,https://api.spotify.com/v1/tracks/4fIWvT19w9PR0VVBuPYpWA,https://api.spotify.com/v1/audio-analysis/4fIWvT19w9PR0VVBuPYpWA,244587,4,Haven't Met You Yet,2009-10-06,71,Michael Bublé
0.623,0.882,0,-2.574,1,0.0322,0.0205,0,0.194,0.525,127.98,audio_features,0xcl9XT60Siji6CSG4y6nb,spotify:track:0xcl9XT60Siji6CSG4y6nb,https://api.spotify.com/v1/tracks/0xcl9XT60Siji6CSG4y6nb,https://api.spotify.com/v1/audio-analysis/0xcl9XT60Siji6CSG4y6nb,232616,4,Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,2010-06-28,58,Flo Rida
